# Fan-out / fan-in, sorted by Ce (efferent = imports pulled in).
# Ce = how many modules this one imports  -> isolation/mocking cost
# Ca = how many modules import this one   -> blast radius of a change
# I  = Ce/(Ca+Ce); 0% = maximally stable, 100% = entry point
# Source: node scripts/depcruise.mjs --output-type metrics (185 modules, 389 deps)

  Ce   Ca      I  module
---- ---- ------  ----------------------------------------
  12    1    92%  infra/lib/constructs/api-construct.ts
   9    2    82%  frontend/src/App.tsx
   8    0   100%  frontend/test/pages/CollectionDetailPage.test.tsx
   8    0   100%  frontend/test/api/client.test.ts
   8    0   100%  backend/test/routes/api/translate.test.ts
   8    0   100%  backend/test/routes/api/entry-translations.test.ts
   8    0   100%  backend/src/routes/api/collections/index.ts
   7    2    78%  frontend/src/pages/CollectionDetailPage.tsx
   7    1    88%  infra/lib/stacks/auth-stack.ts
   7    1    88%  infra/lib/constructs/frontend-construct.ts
   7    0   100%  frontend/test/App.test.tsx
   7    0   100%  extension/test/popup/App.test.tsx
   7    0   100%  backend/test/routes/api/collections-rate-limit.test.ts
   6    2    75%  frontend/src/pages/PrintDocument.tsx
   6    2    75%  frontend/src/api/client.ts
   6    1    86%  frontend/src/pages/PrintCollectionPage.tsx
   6    0   100%  infra/bin/infra.ts
   6    0   100%  frontend/test/pages/CollectionsListPage.test.tsx
   6    0   100%  frontend/test/auth/AuthContext.test.tsx
   6    0   100%  frontend/src/main.tsx
   6    0   100%  frontend/browser-tests/harness/main.tsx
   6    0   100%  extension/src/background.ts
   6    0   100%  backend/test/routes/api/entries.test.ts
   6    0   100%  backend/test/routes/api/collections.test.ts
   6    0   100%  backend/test/routes/api/client-errors/index.test.ts
   6    0   100%  backend/test/route-reachability.test.ts
   6    0   100%  backend/test/plugins/error-handler.test.ts
   5    2    71%  frontend/src/pages/CollectionsListPage.tsx
   5    2    71%  frontend/src/auth/AuthContext.tsx
   5    2    71%  extension/src/popup/App.tsx
   5    1    83%  infra/lib/stacks/frontend-stack.ts
   5    1    83%  backend/src/plugins/error-handler.ts
   5    1    83%  backend/src/app.ts
   5    0   100%  backend/test/schema/core-schema.test.ts
   5    0   100%  backend/test/routes/api/me.test.ts
   5    0   100%  backend/test/route-ownership.test.ts
   5    0   100%  backend/test/plugins/auth.test.ts
   4   10    29%  backend/test/helper.ts
   4    4    50%  backend/src/fastify.d.ts
   4    1    80%  infra/lib/stacks/api-stack.ts
   4    0   100%  frontend/test/pages/printDocumentEffects.test.ts
   4    0   100%  frontend/test/pages/printCssGeometry.test.ts
   4    0   100%  frontend/test/pages/harnessBuild.test.ts
   4    0   100%  frontend/test/auth/cognito.test.ts
   4    0   100%  extension/src/popup/main.tsx
   4    0   100%  backend/test/plugins/support.test.ts
   4    0   100%  backend/src/routes/api/client-errors/index.ts
   3    7    30%  backend/test/helpers/jwks.ts
   3    2    60%  backend/test/helpers/routes.ts
   3    2    60%  backend/test/helpers/anthropic.ts
   3    1    75%  infra/lib/stacks/github-oidc-stack.ts
   3    1    75%  infra/lib/constructs/github-oidc-construct.ts
   3    1    75%  infra/lib/constructs/auth-construct.ts
   3    1    75%  backend/src/plugins/auth.ts
   3    0   100%  frontend/test/setup.ts
   3    0   100%  frontend/test/pages/printRows.test.ts
   3    0   100%  frontend/test/pages/printLabels.test.ts
   3    0   100%  frontend/e2e/reauthPrompt.spec.ts
   3    0   100%  frontend/browser-tests/languageColumn.spec.ts
   3    0   100%  extension/test/setup.ts
   3    0   100%  extension/test/observability/reporter.test.ts
   3    0   100%  backend/test/routes/api/client-errors/redact.test.ts
   3    0   100%  backend/src/plugins/anthropic.ts
   2    6    25%  backend/test/helpers/fixtures.ts
   2    4    33%  frontend/test/helpers/oidc.ts
   2    3    40%  frontend/src/auth/useAuth.ts
   2    2    50%  backend/src/plugins/config.ts
   2    1    67%  frontend/src/useSpeech.ts
   2    1    67%  extension/src/useSpeech.ts
   2    1    67%  backend/src/plugins/sensible.ts
   2    0   100%  frontend/test/pages/printPagination.test.ts
   2    0   100%  frontend/test/observability/reporter.test.ts
   2    0   100%  frontend/e2e/seed.spec.ts
   2    0   100%  frontend/e2e/printRoute.spec.ts
   2    0   100%  frontend/browser-tests/pagination.spec.ts
   2    0   100%  frontend/browser-tests/harness.spec.ts
   2    0   100%  frontend/browser-tests/columns.spec.ts
   2    0   100%  backend/test/register-loader.mjs
   2    0   100%  backend/src/server.ts
   2    0   100%  backend/src/plugins/rate-limit.ts
   2    0   100%  backend/src/plugins/neon.ts
   2    0   100%  backend/src/plugins/cors.ts
   1   10     9%  frontend/src/api/collections.ts
   1    4    20%  frontend/src/auth/cognito.ts
   1    4    20%  frontend/browser-tests/support.ts
   1    4    20%  extension/src/messages.ts
   1    4    20%  backend/src/ai/translate.ts
   1    3    25%  frontend/test/helpers/collections.ts
   1    3    25%  frontend/src/api/errors.ts
   1    3    25%  frontend/e2e/support/session.ts
   1    2    33%  frontend/src/pages/printRows.ts
   1    2    33%  frontend/src/pages/printLabels.ts
   1    2    33%  extension/test/helpers/webext.ts
   1    2    33%  backend/src/routes/api/client-errors/schemas.ts
   1    1    50%  infra/lib/stack-selector.ts
   1    1    50%  frontend/src/observability/globalHandlers.ts
   1    1    50%  frontend/browser-tests/harness/fixtures.ts
   1    1    50%  extension/test/helpers/translations.ts
   1    1    50%  extension/src/auth.ts
   1    1    50%  backend/src/routes/api/collections/schemas.ts
   1    1    50%  backend/src/routes/api/collections/ownership.ts
   1    1    50%  backend/src/plugins/support.ts
   1    0   100%  frontend/test/env.test.ts
   1    0   100%  frontend/src/vite-env.d.ts
   1    0   100%  extension/src/vite-env.d.ts
   1    0   100%  backend/src/routes/health/index.ts
   1    0   100%  backend/src/routes/api/me/index.ts
   1    0   100%  backend/src/routes/api/autohooks.ts
   0    6     0%  frontend/src/languages.ts
   0    5     0%  extension/src/types.ts
   0    4     0%  frontend/src/observability/reporter.ts
   0    4     0%  frontend/src/auth/connectionIssue.ts
   0    3     0%  infra/lib/cdk-ssm-params.ts
   0    2     0%  frontend/src/pages/printPagination.ts
   0    2     0%  frontend/src/index.css
   0    2     0%  extension/src/observability/reporter.ts
   0    2     0%  extension/src/config.ts
   0    2     0%  backend/src/routes/api/client-errors/redact.ts
   0    1     0%  frontend/test/helpers/deferred.ts
   0    1     0%  frontend/src/speech.ts
   0    1     0%  frontend/src/pages/print.css
   0    1     0%  frontend/src/observability/bodyKeys.ts
   0    1     0%  frontend/src/App.css
   0    1     0%  extension/src/speech.ts
   0    1     0%  extension/src/popup/popup.css
   0    1     0%  extension/src/observability/bodyKeys.ts
   0    1     0%  extension/src/languages.ts
   0    1     0%  backend/src/languages.ts
   0    0     0%  infra/test/infra.test.ts
